RMSE,R^2 Adjusted,Features
41209.04115904036,0.7209737539327827,"['Overall Qual', 'Neighborhood_Somerst', 'Roof Matl_Membran', 'Bsmt Exposure_Gd', 'Functional_Min2', 'Garage Type_BuiltIn', 'BsmtFin SF 2', 'Land Contour_HLS', 'Exterior 2nd_Plywood', 'Exter Qual_Gd', 'Fireplaces', 'Low Qual Fin SF', 'Lot Config_Inside', 'Bldg Type_Twnhs', 'Garage Finish_RFn', 'Fireplace Qu_NA', 'Lot Config_FR2', 'House Style_2.5Unf']"
41296.86004582062,0.719783244126526,"['Sale Type_ConLw', 'Neighborhood_Blueste', 'Exterior 1st_BrkFace', 'Fence_GdWo', 'Sale Type_Oth', 'Gr Liv Area', 'Exterior 2nd_HdBoard', 'Roof Matl_Roll', 'BsmtFin Type 1_BLQ', 'BsmtFin Type 2_GLQ', 'BsmtFin Type 1_GLQ', 'Roof Style_Gambrel', 'Fence_MnPrv', 'Mas Vnr Type_None', 'Condition 2_RRNn', 'Garage Cars', 'Neighborhood_StoneBr', 'Roof Style_Mansard']"
41444.76856868193,0.7181884654531039,"['Neighborhood_OldTown', 'Condition 1_RRNe', 'Fireplace Qu_Po', 'Condition 2_PosA', 'Low Qual Fin SF', 'Land Slope_Sev', 'Exterior 2nd_Wd Shng', 'Exter Qual_Gd', 'Misc Feature_Gar2', 'Garage Type_NA', 'Overall Qual', 'Neighborhood_NridgHt', 'Bldg Type_Duplex', 'Misc Val', 'Full Bath']"
41493.814315095246,0.7175210791549991,"['Garage Qual_Fa', 'Alley_Grvl', 'Gr Liv Area', 'Sale Type_WD ', 'Exterior 1st_CBlock', 'Mas Vnr Type_CBlock', 'Kitchen AbvGr', 'Exterior 1st_MetalSd', 'Exterior 2nd_Brk Cmn', 'Lot Config_Inside', 'Bldg Type_TwnhsE', 'Bsmt Exposure_Mn', 'Year Built', 'Sale Type_CWD', 'Neighborhood_IDOTRR']"
41485.22750692018,0.7174991594470298,"['BsmtFin Type 1_GLQ', 'Lot Config_FR3', 'House Style_1.5Unf', 'Neighborhood_SWISU', 'Neighborhood_Veenker', 'Paved Drive_Y', 'Neighborhood_NridgHt', 'Garage Type_Basment', 'Fireplace Qu_Fa', 'Neighborhood_StoneBr', 'Exterior 1st_VinylSd', 'Exterior 1st_PreCast', 'Misc Feature_Gar2', 'Exterior 2nd_CBlock', 'Exter Cond_Po', 'Gr Liv Area']"
41544.434436537515,0.7164133781207902,"['Exterior 1st_VinylSd', 'Garage Qual_TA', 'Exterior 1st_WdShing', 'Exterior 1st_WdShing', 'Half Bath', 'Condition 2_RRNn', 'Garage Qual_Po', '1st Flr SF', 'Bldg Type_Duplex', 'Roof Matl_WdShngl', 'Exterior 1st_ImStucc', 'Bsmt Cond_TA', 'Neighborhood_NoRidge', 'Bsmt Exposure_No', 'House Style_SFoyer', 'Heating_OthW', 'Exterior 2nd_VinylSd', 'Neighborhood_NridgHt']"
41564.828514146386,0.7162745142843479,"['Fireplaces', 'Roof Style_Gable', 'Condition 1_RRAn', 'Bsmt Qual_NA', 'Exter Cond_Po', 'Year Built', 'Exterior 1st_CBlock', 'Condition 2_PosN', 'Neighborhood_Edwards', 'Garage Cond_Po', 'Kitchen Qual_Gd', 'Bedroom AbvGr', 'Garage Type_BuiltIn', 'Overall Qual', 'Bsmt Qual_Po', 'Roof Style_Gambrel', 'Garage Type_Attchd']"
41580.92691208205,0.7160546933224002,"['Neighborhood_BrkSide', 'Garage Type_Attchd', 'Roof Matl_Metal', 'Bldg Type_Twnhs', 'Year Built', 'House Style_SLvl', 'Neighborhood_OldTown', 'Central Air_Y', 'MS Zoning_C (all)', 'Gr Liv Area', 'Neighborhood_Mitchel', 'Roof Matl_WdShngl', 'Functional_Min2', 'Land Contour_Lvl', 'BsmtFin Type 1_NA', 'Neighborhood_SawyerW', 'Neighborhood_Landmrk']"
41618.99644595032,0.7156743766712915,"['Condition 1_RRNn', 'Exterior 1st_CBlock', 'Bsmt Exposure_No', 'MS Zoning_RM', 'Fireplace Qu_NA', 'Garage Cond_Po', '1st Flr SF', 'Electrical_FuseF', 'Neighborhood_Landmrk', 'Electrical_SBrkr', 'Bsmt Exposure_Gd', 'Mas Vnr Area', 'Foundation_PConc', 'Misc Feature_Shed', 'Id', 'Bsmt Half Bath']"
41697.68640411187,0.7145981987515997,"['Garage Cond_Po', 'Roof Matl_CompShg', 'Exter Qual_TA', 'MS Zoning_RL', 'Mas Vnr Type_None', 'Bsmt Exposure_NA', 'Functional_Sal', 'Central Air_Y', 'Neighborhood_BrkSide', 'Exterior 2nd_Brk Cmn', 'Central Air_Y', 'Condition 2_PosA', 'Fireplace Qu_NA', 'Gr Liv Area', 'Street_Pave', 'Functional_Maj2']"
