RMSE,R^2 Adjusted,Features
29378.87901908202,0.8581822866037504,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Sale Type_New', 'Garage Finish_RFn', 'Lot Area', 'Year Remod/Add', 'Mas Vnr Type_CBlock', 'Heating QC_TA', 'Sale Type_ConLD', 'Misc Feature_TenC', 'Garage Qual_Po', 'Garage Finish_RFn', 'Heating QC_Po', 'Heating QC_Po']"
29403.1905093142,0.8581568906963509,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'House Style_2.5Unf', 'Roof Matl_WdShake', 'Bsmt Qual_Po', 'MS SubClass', 'Exterior 1st_CBlock', 'Exter Qual_TA', 'Neighborhood_ClearCr', 'BsmtFin Type 1_LwQ', 'Neighborhood_StoneBr']"
29419.998076060245,0.8580644297318469,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Bsmt Exposure_No', 'Bsmt Exposure_NA', 'Bldg Type_Twnhs', 'Exterior 1st_CemntBd', 'Total Bsmt SF', 'Year Remod/Add', 'Mo Sold', 'Condition 1_RRAn']"
29408.069320485967,0.8579003317775863,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Utilities_NoSeWa', 'Fireplace Qu_NA', 'Neighborhood_SWISU', 'Lot Area', 'House Style_SFoyer', 'Neighborhood_GrnHill', 'Pool QC_Fa', 'Garage Cond_TA', 'Functional_Mod', 'Bsmt Cond_NA', 'MS SubClass', 'Fence_NA']"
29430.065206846288,0.8578974812455413,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Id', 'BsmtFin Type 1_NA', 'Heating_GasW', 'Exterior 2nd_Other', 'MS SubClass', 'Exterior 1st_HdBoard', 'Exterior 2nd_BrkFace', 'Exterior 1st_CBlock', 'Bedroom AbvGr']"
29475.033279217536,0.857462894491825,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exterior 1st_BrkFace', 'Bsmt Exposure_Gd', 'Garage Cond_TA', 'Fence_GdWo', 'Functional_Min1', 'Mas Vnr Area', 'Exterior 1st_BrkComm', 'Sale Type_Con', 'Pool QC_TA']"
29468.992915730036,0.8574512606776465,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Kitchen Qual_Gd', 'MS SubClass', 'Exterior 1st_CBlock', 'Bldg Type_Twnhs', 'Bsmt Unf SF', 'Fence_NA', 'Lot Config_FR2', 'Bsmt Half Bath', 'MS Zoning_RL', 'Overall Cond']"
29459.101208168773,0.8574067321399791,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Land Slope_Mod', 'Exter Cond_TA', 'MS SubClass', 'Bsmt Qual_Gd', 'Garage Finish_RFn', 'Exterior 1st_PreCast', 'Functional_Typ', 'Exterior 1st_ImStucc', 'Exterior 1st_PreCast', 'Kitchen Qual_Gd', 'Lot Frontage', 'Condition 1_PosA']"
29460.463676324605,0.8573935421055671,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Functional_Maj2', 'Bsmt Qual_Gd', 'Garage Cond_TA', 'Overall Cond', 'Neighborhood_MeadowV', 'Open Porch SF', 'Fireplaces', 'Garage Cond_NA', 'Sale Type_CWD', 'Half Bath', 'Exterior 1st_VinylSd', 'Kitchen Qual_Fa']"
29502.17840807371,0.8572002335658889,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Roof Style_Shed', 'Garage Qual_NA', 'Bsmt Exposure_No', 'Exterior 1st_BrkFace', 'MS Zoning_RM', 'Neighborhood_Greens', 'Half Bath', 'Garage Type_Basment', 'Lot Area']"
29533.41295652882,0.8567569241094857,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Garage Type_Attchd', 'Bldg Type_Twnhs', 'Kitchen AbvGr', 'Exterior 1st_BrkFace', 'House Style_2.5Unf', 'Heating_OthW', 'Condition 1_RRNe', 'Lot Shape_IR2', 'Lot Config_CulDSac', 'Paved Drive_P', 'Low Qual Fin SF']"
29529.017375750445,0.8567290872052952,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Lot Config_CulDSac', 'Roof Matl_CompShg', 'Neighborhood_MeadowV', 'Bsmt Qual_Fa', 'Mas Vnr Type_Stone', 'Land Contour_HLS', 'Neighborhood_NridgHt', 'Wood Deck SF', 'Condition 1_RRNn', 'Heating_OthW', 'Condition 2_RRAn', 'Alley_Grvl']"
29546.76236117983,0.856556842791147,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Mas Vnr Type_NA', 'Heating QC_Fa', 'Overall Cond', 'Exterior 2nd_Plywood', 'BsmtFin Type 2_LwQ', 'Garage Cars', '3Ssn Porch', 'House Style_1Story', 'Exterior 2nd_Brk Cmn', 'Exterior 1st_BrkFace', 'Lot Area', 'Exterior 2nd_MetalSd']"
29562.207669605,0.8564068363132658,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Lot Frontage', 'Lot Config_FR2', 'Neighborhood_NridgHt', 'BsmtFin Type 2_Unf', 'Exterior 1st_BrkFace', 'Bsmt Full Bath', 'Bsmt Cond_TA', 'House Style_1Story', 'Sale Type_ConLD', 'Land Contour_Lvl', 'Exterior 2nd_ImStucc', 'Bsmt Cond_Po']"
29564.107761104504,0.8563883770073121,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'MS SubClass', 'Bsmt Cond_NA', 'Total Bsmt SF', 'Central Air_Y', 'Misc Feature_Gar2', 'Neighborhood_Greens', 'Exterior 2nd_HdBoard', 'Neighborhood_Veenker', 'Bsmt Qual_NA', 'MS SubClass', 'Neighborhood_CollgCr', 'Pool QC_TA']"
29595.978975488513,0.8562200883616458,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'House Style_1Story', 'Mas Vnr Type_Stone', 'BsmtFin Type 2_LwQ', 'Year Remod/Add', 'Land Contour_Lvl', 'MS SubClass', 'BsmtFin Type 2_NA', 'Exterior 2nd_VinylSd', 'Garage Qual_NA', 'Functional_Min1']"
29583.171706800975,0.8562031059401768,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Garage Cars', 'Roof Matl_Metal', 'Paved Drive_Y', 'Exterior 1st_ImStucc', 'Garage Yr Blt', 'Heating QC_Gd', '3Ssn Porch', 'Exter Cond_Gd', 'Fireplace Qu_Gd', 'Bldg Type_TwnhsE', 'Fence_MnWw', 'Kitchen AbvGr']"
